Fold,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_MCC,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_MCC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_MCC,Training_Time,Val_Accuracy_Epoch,Learning_Rate,batch_size,adaptive_method
5,0.998907269,0.999058284,0.998005143,0.998529243,0.998317005,0.999078017,0.999157963,0.998371693,0.998763038,0.998587692,0.999051683,0.999308959,0.99822154,0.998763159,0.998540179,61.03320479,0.999341428,0.01,256,ElasticNet
6,0.999975609,0.999959387,0.999970053,0.999964717,0.999962448,1,1,1,1,1,0.999920974,0.999962029,0.999843603,0.99990279,0.999878332,87.78273988,1,0.01,256,ElasticNet
7,0.999848774,0.99985073,0.999732482,0.999791551,0.999767124,0.999956096,0.999978819,0.999912892,0.999945847,0.999932547,0.999841947,0.999894533,0.999699494,0.999796948,0.999756663,71.42706943,1,0.01,256,ElasticNet
8,0.999965852,0.999943128,0.999958196,0.999950657,0.999947459,0.999956096,0.999925948,0.999944494,0.999935212,0.999932025,1,1,1,1,1,83.14409065,0.999956071,0.01,256,ElasticNet
9,0.999297534,0.999646049,0.99862541,0.9991339,0.998918921,0.999517035,0.99976848,0.999019957,0.999393202,0.999255795,0.999367789,0.999696556,0.998748827,0.99922103,0.999026932,51.55800557,1,0.01,256,ElasticNet
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,51.1816771,1,0.01,256,ElasticNet
1,0.999824383,0.999713795,0.999780549,0.999747047,0.999729669,0.999692672,0.999478546,0.999624141,0.99955093,0.999526857,0.999723408,0.999539474,0.999660326,0.999599572,0.999574273,91.9521172,0.999780476,0.01,256,FixedL1
2,0.999995122,0.99999186,0.999990373,0.999991116,0.999992492,1,1,1,1,1,1,1,1,1,1,101.9700358,1,0.01,256,FixedL1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,72.16236162,1,0.01,256,FixedL1
4,0.999873165,0.999800351,0.999836996,0.999818615,0.999804822,1,1,1,1,1,0.999841947,0.999830277,0.999746554,0.999788363,0.999756664,69.78686833,1,0.01,256,FixedL1
5,0.999936583,0.999915622,0.999889285,0.999902446,0.999902309,0.999956096,0.99994564,0.999929913,0.999937769,0.999932735,0.999920974,0.999962029,0.999843603,0.99990279,0.999878332,60.20121694,1,0.01,256,FixedL1
6,0.999726817,0.999699342,0.999565415,0.99963229,0.999579409,0.999868288,0.999883581,0.999775309,0.999829406,0.999797205,0.999723408,0.999867153,0.999452612,0.999659565,0.999574205,75.76439571,0.999956071,0.01,256,FixedL1
7,0.999473148,0.999163078,0.998988456,0.999074683,0.999188875,0.999385345,0.998986095,0.998780488,0.99888077,0.999056201,0.999525842,0.999245612,0.99906162,0.999152292,0.999270243,57.79271293,1,0.01,256,FixedL1
8,0.999595104,0.999214595,0.99932551,0.999269016,0.999377238,0.999517057,0.999090389,0.999185185,0.999136388,0.999252575,0.999683894,0.999375975,0.999472713,0.999423676,0.999513468,58.38981843,0.999824405,0.01,256,FixedL1
9,0.999990244,0.999995311,0.999980745,0.999988027,0.99998498,1,1,1,1,1,0.999920974,0.999962029,0.999843603,0.99990279,0.999878332,62.69227695,1,0.01,256,FixedL1
10,0.999682914,0.99963618,0.999461475,0.99954848,0.999511881,0.999604847,0.999552889,0.999316062,0.999433928,0.999392071,0.999683894,0.999700659,0.999435851,0.999568029,0.999513351,63.63264489,0.999912202,0.01,256,FixedL1
1,0.999439,0.999313871,0.999046381,0.999180046,0.99913625,0.999473153,0.99929684,0.999185836,0.999241109,0.999188671,0.999367789,0.99928862,0.998899285,0.999093805,0.999026564,58.4630537,0.99964875,0.01,256,FixedL2
2,0.999434121,0.999037741,0.999425833,0.999231544,0.999129331,0.999560961,0.999231888,0.999565898,0.999398632,0.999322347,0.999367789,0.998964359,0.999212447,0.999088272,0.999026872,71.97976899,0.999560952,0.01,256,FixedL2
3,0.999824383,0.999772335,0.999678073,0.999725159,0.999729448,0.999868288,0.999821182,0.999767201,0.999794168,0.99979835,0.999841947,0.999818073,0.999711782,0.999764889,0.999756659,84.07958245,1,0.01,256,FixedL2
4,0.999560956,0.999526743,0.999339567,0.999432912,0.999324329,0.999473153,0.999542681,0.999095171,0.999318519,0.999185879,0.999446815,0.999500075,0.999053317,0.999275827,0.999148395,71.23372102,0.999473155,0.01,256,FixedL2
5,0.999565835,0.99945431,0.999248526,0.999351144,0.999331241,0.999473153,0.999382842,0.99908941,0.999235636,0.999192902,0.999525842,0.999424979,0.999123057,0.999273584,0.999270036,62.63856912,0.999560952,0.01,256,FixedL2
6,0.999575591,0.999386692,0.999343785,0.999365045,0.999346612,0.999473153,0.999283099,0.99912709,0.999204861,0.999188822,0.999565355,0.999371985,0.999425945,0.999398921,0.999330826,74.17008805,0.999473155,0.01,256,FixedL2
7,0.99918533,0.998850551,0.998626855,0.99873783,0.998745676,0.999165825,0.998806375,0.998585897,0.998694372,0.998718799,0.999565355,0.999409327,0.999282813,0.999345672,0.999330897,58.83800101,0.999165833,0.01,256,FixedL2
8,0.999639009,0.999437206,0.999514209,0.999475627,0.999444618,0.999429249,0.999200545,0.999131822,0.999165423,0.999116574,0.999604868,0.999366986,0.999550929,0.999458796,0.999391783,79.60232735,0.999604881,0.01,256,FixedL2
9,0.998804831,0.998541792,0.998043247,0.998291988,0.998160019,0.999121883,0.998898912,0.998479061,0.998688826,0.998646464,0.99889363,0.998915395,0.998084697,0.998498483,0.998296697,77.01300979,0.999385297,0.01,256,FixedL2
10,0.999204847,0.999396171,0.998519978,0.998956955,0.998775795,0.99947313,0.999563098,0.999024475,0.99929338,0.999189251,0.999367789,0.999518448,0.998797977,0.99915747,0.999026693,61.68257546,0.999473155,0.01,256,FixedL2
1,0.999268261,0.998826966,0.998878391,0.998852397,0.998873614,0.999429249,0.999090431,0.999199694,0.999144978,0.999121149,0.999170223,0.998652045,0.998880665,0.998766153,0.998722795,58.35127735,0.999429226,0.01,256,MLP
2,0.998858486,0.998137681,0.99879614,0.998465536,0.998243957,0.999253633,0.998688071,0.999326022,0.999006307,0.998848173,0.99901217,0.998454207,0.998928778,0.998690933,0.99847956,54.39347339,0.999736547,0.01,256,MLP
3,0.99918533,0.998566141,0.999060017,0.998811892,0.99874551,0.999341441,0.99898821,0.999082093,0.999034518,0.998991974,0.999367789,0.998929555,0.999261596,0.999094638,0.999027018,55.13687873,0.999341428,0.01,256,MLP
4,0.999892678,0.999826158,0.999874182,0.999850168,0.999834836,0.999868288,0.999770548,0.999884253,0.99982736,0.999796492,0.99988146,0.999819723,0.999795079,0.999807359,0.9998175,101.0996284,0.999868274,0.01,256,MLP
5,0.999712182,0.999527478,0.999558194,0.999542674,0.999556672,0.999824384,0.999718001,0.999733696,0.999725833,0.99973094,0.999802434,0.999717647,0.999698029,0.999707723,0.999695849,69.27101588,0.999824405,0.01,256,MLP
6,0.998492617,0.998506365,0.997226217,0.997862394,0.997679545,0.998638978,0.998759949,0.997509678,0.998131444,0.99790474,0.998538012,0.998650701,0.99730836,0.997975696,0.997749356,64.59119129,0.998638988,0.01,256,MLP
7,0.999053617,0.998802228,0.998398663,0.998597873,0.998543354,0.998902402,0.998689381,0.998110126,0.998396882,0.998314457,0.99889363,0.998672799,0.998080771,0.99837398,0.998297242,53.00814986,0.998990238,0.01,256,MLP
8,0.999404852,0.99908616,0.999225524,0.999155666,0.999084412,0.999473153,0.999283083,0.999300681,0.999291543,0.999184406,0.999683894,0.999670823,0.999470486,0.999570521,0.999513326,56.23800564,0.999473155,0.01,256,MLP
9,0.999541446,0.999670574,0.99915057,0.999410021,0.99929414,0.999517035,0.999702411,0.99905451,0.999377748,0.99925571,0.999723408,0.999773342,0.999452612,0.999612651,0.999574194,72.78329968,0.999517024,0.01,256,MLP
10,0.999165821,0.999318507,0.998531694,0.99892405,0.998715639,0.998902353,0.999353748,0.997897312,0.998621712,0.998311534,0.999446815,0.999521572,0.998976721,0.999248501,0.999148347,99.94328904,0.999692678,0.01,256,MLP
1,0.999941461,0.999931648,0.999913692,0.999922667,0.999909874,1,1,1,1,1,0.99988146,0.999866587,0.999777692,0.999822112,0.999817493,93.04873037,1,0.01,256,Novel
2,0.999629252,0.99930705,0.999752011,0.999529166,0.999429617,0.999824384,0.999659956,0.999883171,0.99977148,0.999728906,0.999683894,0.99939979,0.999759347,0.999579384,0.999513469,94.54082394,0.999824405,0.01,256,Novel
3,0.999882922,0.99981492,0.999847936,0.999831391,0.999819642,0.999824384,0.99969396,0.999768439,0.999731145,0.999731149,0.999960487,0.999934106,0.999951475,0.999942784,0.999939166,99.46433783,1,0.01,256,Novel
4,0.999878043,0.999816075,0.999838213,0.999827133,0.999812316,0.999912192,0.999891751,0.999852377,0.999872031,0.999864322,0.999802434,0.99970536,0.999739716,0.999722485,0.999695848,99.03272009,0.999956071,0.01,256,Novel
5,0.999058495,0.998605225,0.998677925,0.998639877,0.998550215,0.998990209,0.998568014,0.998569901,0.998567428,0.998453368,0.99913071,0.998670824,0.998826047,0.998746557,0.998662292,81.05340576,0.999956071,0.01,256,Novel
6,0.999302408,0.999045682,0.999012421,0.999027789,0.998926363,0.999473153,0.999375778,0.999195082,0.999284824,0.999188934,0.999446815,0.999266694,0.999201958,0.999233554,0.999148516,105.7735021,0.999912202,0.01,256,Novel
7,0.999863409,0.999832172,0.999765961,0.999799014,0.999789664,0.999956096,0.999946444,0.999927283,0.999936855,0.999932549,0.999920974,0.999962029,0.999843603,0.99990279,0.999878332,159.0830359,1,0.01,256,Novel
8,0.999682913,0.999662942,0.999450189,0.999556282,0.999512175,0.999692672,0.999646541,0.999469851,0.99955788,0.99952424,0.999723408,0.99971964,0.999514049,0.999616651,0.999574189,90.94437361,0.999780476,0.01,256,Novel
9,0.999653645,0.999440826,0.999558855,0.999499476,0.999466943,0.999824377,0.999713056,0.999783643,0.99974822,0.999729365,0.999723408,0.999586172,0.999630653,0.999608165,0.999574232,104.4855013,0.999956071,0.01,256,Novel
