Fold,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_MCC,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_MCC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_MCC,Training_Time,Val_Accuracy_Epoch,Learning_Rate,batch_size,adaptive_method
3,0.998969173,0.998939549,0.998803835,0.99887079,0.998601991,0.999116608,0.999070629,0.998939213,0.999004351,0.998802382,1,1,1,1,1,23.08641386,1,0.01,256,MLP
4,0.999361869,0.999301946,0.999285078,0.999293425,0.999135101,0.999116608,0.99890176,0.999023438,0.998961025,0.998792038,1,1,1,1,1,18.59744382,0.99955833,0.01,256,MLP
5,0.999950913,0.999948133,0.99994877,0.999948446,0.999933436,1,1,1,1,1,1,1,1,1,1,20.10809612,1,0.01,256,MLP
6,0.999656391,0.999636348,0.999640507,0.999638294,0.999533425,0.999116608,0.999103943,0.999102334,0.999101527,0.998812713,0.999602544,0.999580537,0.999586093,0.999582967,0.999461014,16.09467244,0.9991166,0.01,256,MLP
7,0.99774211,0.997665615,0.997628714,0.997638761,0.996941836,0.998674326,0.998590226,0.99853229,0.998557104,0.998204846,0.998410175,0.998330551,0.998344371,0.998331914,0.997846632,19.65010762,0.999116242,0.01,256,MLP
8,0.999852746,0.999860612,0.999798441,0.999829474,0.999800211,1,1,1,1,1,1,1,1,1,1,13.61924458,1,0.01,256,MLP
9,0.996416826,0.996143576,0.996151233,0.996136222,0.995147387,0.998674326,0.998563218,0.998618785,0.998587018,0.998199087,0.995627981,0.995182545,0.995434498,0.9952849,0.9940835,13.10658407,0.999558091,0.01,256,MLP
10,0.998429294,0.998066609,0.998508128,0.99828635,0.997870605,0.998232435,0.997818668,0.998253185,0.998034075,0.997600974,0.998807631,0.998498286,0.998873589,0.998685127,0.998383274,12.69059515,0.998232424,0.01,256,MLP
1,0.998772825,0.998643078,0.998787805,0.998714959,0.998336161,0.999558304,0.99954955,0.999535316,0.999542014,0.999399173,0.998012719,0.997800269,0.998033252,0.997914994,0.997305281,16.05073071,0.99955833,0.01,256,Novel
2,0.999803652,0.999810235,0.999761106,0.999785638,0.999733547,0.999558304,0.999520154,0.99955036,0.999534824,0.999402896,0.999602544,0.999586777,0.999579832,0.999582957,0.999461012,24.76698065,0.99955833,0.01,256,Novel
3,0.999312782,0.999260791,0.999122438,0.999190935,0.999067967,0.999558304,0.999535316,0.999404762,0.999469468,0.999401324,1,1,1,1,1,15.63767242,1,0.01,256,Novel
4,0.999754565,0.999742487,0.999728643,0.999735526,0.99966735,1,1,1,1,1,1,1,1,1,1,24.15763903,1,0.01,256,Novel
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28.69249797,1,0.01,256,Novel
6,0.998183782,0.998233424,0.998058133,0.998141275,0.997536014,0.997791519,0.997762206,0.997752606,0.997753789,0.997031513,0.998410175,0.998582441,0.998197196,0.998388307,0.997843966,22.10112453,0.998674929,0.01,256,Novel
7,0.998969224,0.999164446,0.998582231,0.998870923,0.998602441,0.999558109,0.999528302,0.999438202,0.999482713,0.999401083,0.998807631,0.998997786,0.998373102,0.998682273,0.998383593,16.30266929,1,0.01,256,Novel
8,0.99946007,0.999309434,0.999541459,0.999425082,0.99926762,0.999116217,0.998834499,0.999340369,0.999085637,0.998804671,0.999602544,0.999458874,0.999707944,0.999583031,0.999461062,23.70649099,0.999116242,0.01,256,Novel
9,0.998871055,0.998863751,0.998629383,0.998745771,0.998469177,0.998674326,0.998723851,0.998326003,0.998522215,0.998197779,0.999205087,0.999174917,0.999159664,0.999165901,0.998922449,19.74776363,0.999558091,0.01,256,Novel
10,0.998772886,0.998724197,0.99870091,0.998709942,0.998337092,0.999558109,0.999551971,0.999548736,0.999549949,0.999400081,0.999205087,0.999174917,0.999159664,0.999165901,0.998922449,21.27207255,1,0.01,256,Novel
1,0.998331043,0.998633719,0.997767522,0.998195124,0.99773884,0.998674912,0.999043367,0.998081841,0.998557994,0.998198606,0.998807631,0.999126892,0.998373102,0.998746578,0.998383943,18.41881585,0.998674929,0.01,32,Adaptive
2,0.998920086,0.999064455,0.998646798,0.998854356,0.998534942,0.999116608,0.999337748,0.998975647,0.999155726,0.998805891,0.999205087,0.999288822,0.998915401,0.999100671,0.998922123,15.08692527,0.9991166,0.01,32,Adaptive
3,0.998969173,0.998866723,0.998716056,0.998790308,0.998602016,0.998674912,0.998613117,0.998343974,0.998478086,0.998203335,0.999602544,0.999580537,0.999586093,0.999582967,0.999461014,22.64698744,0.99955833,0.01,32,Adaptive
4,0.999607304,0.999591369,0.999587453,0.999589221,0.999467843,1,1,1,1,1,1,1,1,1,1,21.41333151,1,0.01,32,Adaptive
5,0.998870999,0.998817452,0.998674826,0.9987452,0.998469388,0.998674912,0.998764522,0.998253063,0.99850685,0.99819698,0.999205087,0.999162479,0.998915401,0.999037059,0.998922393,24.70367765,0.998674929,0.01,32,Adaptive
6,0.998723738,0.998779858,0.998536798,0.998656589,0.998267607,0.999116608,0.999103943,0.999102334,0.999101527,0.998812713,0.999205087,0.999162479,0.999172185,0.999165943,0.998922457,14.72456884,0.9991166,0.01,32,Adaptive
7,0.999116478,0.999230111,0.998896736,0.999062707,0.998801547,1,1,1,1,1,0.999205087,0.999417249,0.998915401,0.999164806,0.998922285,24.69400692,1,0.01,32,Adaptive
8,0.99882197,0.99851943,0.999010184,0.998763136,0.998402764,0.999558109,0.999554367,0.999517375,0.999535439,0.999401953,0.999602544,0.999458874,0.999707944,0.999583031,0.999461062,27.22677326,0.999558091,0.01,32,Adaptive
